X,Quarters,Performance,Weights,Earnings.per.Share,Price.to.Sales,Operating.Margins,Price.to.Book,ROE,ROA,Dividend.Yield,EPS.Growth,Earnings.Yield,PE,Debt.to.Equity,Book.Value.Per.Share,Net.Debt.to.EBITDA,Current.Ratio,Profit.Margin,Total.Debt.to.Total.Asset,Return.on.Capital,FCF.to.Basic.Share,Tangible.Book.value.per.Share
GLOBE TELECOM INC,3/31/22,0,2.37,39.01,1.77,20.83,2.46,29.31,248282.99,-19.46,-4.32,10.17,10.34,210.33,907.77,3.28,0.45,13.72,52.33,10.99,-58.22,725.86
GLOBE TELECOM INC,6/30/22,1,2.25,49.87,1.59,23.46,2.16,31.44,269229.43,-17.86,38.22,11.69,8.84,221.3,940.9,3.48,0.68,15.87,53.81,10.89,-81.22,754.87
GLOBE TELECOM INC,12/29/22,0,1.8,47.49,1.46,26.9,1.74,39.17,281323.84,-3.19,-52.51,20.87,9.76,189.78,1073.41,2.81,0.59,16.11,51.17,8.84,-48.61,903.55
GLOBE TELECOM INC,3/31/23,0,1.67,39.52,1.43,25.09,1.59,40.1,301320.05,-0.65,1.3,22.34,9.04,205.2,1088.66,2.94,0.56,15.9,53.32,8.68,-12.96,909.12
GT CAPITAL HOLDINGS INC,12/29/16,0,2.33,15.16,1.01,8.22,1.72,12.57,57326,-7.44,21.98,6.6,40.6,59.23,596.61,3.72,2.76,6.71,31.34,9.44,32.34,530.38
GT CAPITAL HOLDINGS INC,3/31/17,0,2.55,20.45,1.06,10.67,1.62,11.66,67780,-5.74,173.41,6.77,28.34,49.96,667.93,4.16,2.7,7.32,28.47,8.72,-27.77,607.96
GT CAPITAL HOLDINGS INC,6/28/19,0,1.94,35.97,1.04,9.7,1.04,9.14,110575,-2.7,54.95,7.79,15.37,68.31,811.27,6.31,1.95,14.5,34.89,8.62,-16.09,764.65
GT CAPITAL HOLDINGS INC,12/27/19,1,1.35,11.13,0.47,7.95,0.5,9.02,99605,-11.81,-15.29,16.62,6.29,67.4,815.01,5.65,2.25,7.1,34.72,9.33,41.59,768.42
GT CAPITAL HOLDINGS INC,6/30/20,0,1.16,1.59,0.66,6.97,0.47,4,115776,-11.01,-92.17,8.17,12.59,70.76,831.02,12.37,1.77,1.56,36.05,5.03,26.19,784.63
GT CAPITAL HOLDINGS INC,12/29/20,1,1.43,18.23,0.87,7.82,0.61,4.51,109364,-5.53,63.79,7.23,15.01,67.94,856.84,10.26,2.15,9.97,35.23,4.77,33.87,810.66
GT CAPITAL HOLDINGS INC,6/30/21,1,1.29,8.58,0.68,5.81,0.57,6.07,115635,-6.27,439.47,10.27,9.63,68.98,893.06,8.38,2.32,5.36,35.59,6.11,-23.36,846.88
GT CAPITAL HOLDINGS INC,9/30/21,0,1.33,10.77,0.73,1.84,0.6,4.85,115266,1.49,-30.14,7.84,11.17,68.94,895.68,10.21,2.37,5.31,35.54,5.81,7.14,849.52
GT CAPITAL HOLDINGS INC,12/31/21,1,1.32,19.6,0.71,7.04,0.61,4.99,112008,-5.32,7.52,7.95,11.11,67.29,898.93,9.74,2.45,8.7,34.9,6.1,2.23,852.41
GT CAPITAL HOLDINGS INC,3/31/22,1,1.37,16.95,0.57,5.12,0.54,4.79,108086,-1.6,57.86,8.73,8.75,66.94,899.88,9.62,2.31,7.5,34.47,6.51,23.78,853.26
GT CAPITAL HOLDINGS INC,6/30/22,1,1.23,30.18,0.44,8.92,0.45,6.21,108461,1.97,251.73,13.6,5.36,65.24,924.86,7.57,2.25,11.54,33.91,7.8,46.6,878.28
GT CAPITAL HOLDINGS INC,12/29/22,0,1.33,30.19,0.48,10.4,0.53,8.39,116494,-13.54,54.03,15.25,5.53,65.8,975.62,6.13,1.9,10.61,34.03,8.94,-14.63,929.13
GT CAPITAL HOLDINGS INC,3/31/23,1,1.32,44.89,0.44,14.97,0.5,12,101934,-2.87,164.77,22.48,4.25,56.97,1027.64,3.78,2.04,13.97,30.91,11.08,119.89,981.22
INTL CONTAINER TERM SVCS INC,12/29/16,1,2.64,0.02,3.14,36.37,2.15,24.2,1131.38,-1.79,42.86,11,24.67,76.66,0.83,2.06,1.31,17.41,33.7,9.55,-0.01,-0.01
INTL CONTAINER TERM SVCS INC,3/31/17,1,2.72,0.02,3.33,32.08,2.42,25.06,1189.11,0.37,23.53,10.16,25.32,81.91,0.8,2.13,1.18,16.93,34.94,9.96,0.05,-0.04
INTL CONTAINER TERM SVCS INC,6/28/19,1,3.32,0.02,3.15,39.97,3.05,32.9,2428.15,0.12,22.22,12.69,24.77,162.57,0.76,2.93,0.83,15.86,50.23,11.76,0.04,-0.24
INTL CONTAINER TERM SVCS INC,12/27/19,1,2.98,0.02,2,41.63,2.28,37.69,2388.42,5.96,-17.86,19.91,92.91,193.3,0.65,2.91,0.8,15.86,50.4,6.53,0.05,-0.41
INTL CONTAINER TERM SVCS INC,3/31/20,0,3.52,0.02,2.84,42.74,3.13,41.98,2580.72,12.04,0,14.33,130.36,193.86,0.66,3.14,1.16,15.43,51.58,6.39,0.06,-0.39
INTL CONTAINER TERM SVCS INC,6/30/20,1,3.96,0.03,3.06,44.38,2.76,38.92,2346.02,1.18,22.73,13.65,108.79,160.92,0.82,2.76,1.8,18.25,49.22,6.97,0.06,-0.22
INTL CONTAINER TERM SVCS INC,12/29/20,0,3.98,0.04,3.21,47.28,3.51,50.71,2136.18,1.92,56.52,13.87,73.5,180.49,0.71,2.3,1.35,20.68,47.71,8.08,0.07,-0.27
INTL CONTAINER TERM SVCS INC,3/31/21,1,5.03,0.05,4.07,46.36,4.46,52.89,2510.85,-0.36,125,11.13,56.86,180.43,0.75,2.53,1.52,23.84,49.69,9.37,0.08,-0.27
INTL CONTAINER TERM SVCS INC,6/30/21,1,5.93,0.05,4.39,48.47,5.13,51.97,2518.59,6.19,92.59,10.57,45.49,182.28,0.74,2.37,1.56,24.81,49.97,10.27,0.08,-0.27
INTL CONTAINER TERM SVCS INC,12/31/21,1,6.42,0.07,4.52,51.99,8.53,77.03,2965.04,8.2,80.56,10.86,20.58,294.56,0.51,2.45,0.74,26.93,55.48,16.38,0.1,-0.53
INTL CONTAINER TERM SVCS INC,3/31/22,1,6.16,0.07,3.34,50.26,6.12,77.14,3299.47,4.93,57.78,14.97,14.14,290.41,0.55,2.58,0.69,28.47,58.63,16.77,0.03,-0.48
INTL CONTAINER TERM SVCS INC,6/30/22,0,5.55,0.08,2.54,51.95,4.4,79.12,3122.88,5.1,53.85,20.02,10.06,245.5,0.61,2.32,0.84,29.59,55.56,17.62,0.11,-0.54
INTL CONTAINER TERM SVCS INC,12/29/22,1,6.59,0.07,3.5,49.14,6.45,100.71,3238.01,6.11,12.31,14.36,13.29,242.38,0.61,2.27,0.88,27.02,54.91,18.97,0.1,-0.58
INTL CONTAINER TERM SVCS INC,3/31/23,1,6.27,0.08,3.2,50.56,5.34,93.76,3296.2,11.85,5.63,15.74,12.29,228.9,0.69,2.25,1,26.86,54.41,18.35,0.1,-0.49
JG SUMMIT HOLDINGS INC,12/29/16,1,6.76,1,2.45,17.12,2.32,17.09,144332.07,-4.3,-21.64,7.09,68,70.2,33.43,2.45,1.11,11.57,33,5.08,0.7,27.28
JG SUMMIT HOLDINGS INC,3/31/17,1,6.36,0.95,2.36,16.72,2.25,16.25,147898.83,-4.11,-9.09,6.99,73.88,69.76,34.35,2.52,1.06,11.09,32.46,4.71,0.06,28.2
JG SUMMIT HOLDINGS INC,6/28/19,1,5.51,0.49,1.79,11.15,1.74,12.75,228253.27,-1.9,-26.09,7.08,20.42,71.34,39.74,3.55,0.99,5.3,32.16,7.47,-2.31,33.64
JG SUMMIT HOLDINGS INC,12/27/19,1,5.74,0.26,1.51,11.04,1.21,11.53,239527.89,-7.75,-70,8.81,15.23,73.6,41.09,3.68,0.93,2.88,32.43,7.51,-1.11,34.98
JG SUMMIT HOLDINGS INC,6/30/20,1,5.99,0.11,2.2,-0.91,1.39,3.79,245401.25,-13.86,-76.47,2.39,52.67,81.31,41.24,5.72,1,1.74,34.15,3.69,-1.01,35.1
JG SUMMIT HOLDINGS INC,3/31/23,0,3.96,0.72,1.13,10.33,1.02,4.53,295669.11,16.8,11363.03,4.43,29.87,84.88,43.59,7,1.08,7.01,34.36,4.63,2.51,40.31
JOLLIBEE FOODS CORP,12/29/16,0,2.58,1.43,1.79,6.24,5.93,19.45,-4241.37,-0.16,9.1,3.09,33.69,32.95,33.28,-0.4,1.32,5.23,16.54,14,-0.55,24.77
JOLLIBEE FOODS CORP,3/31/17,0,2.58,1.81,1.78,6.14,6.01,19.8,-3505.9,0.38,17.22,3.08,33.29,31.67,33.95,-0.32,1.25,6.01,15.97,14.44,0.66,22.22
JOLLIBEE FOODS CORP,6/28/19,0,2.68,1.53,1.4,3.05,4.68,16.17,24309.81,4.75,-18.22,3.3,38.43,90.38,47.4,0.98,0.78,3.88,34.33,10.21,2.59,1.38
JOLLIBEE FOODS CORP,9/30/21,0,2.79,2.84,1.56,5.48,3.7,9.44,57294.73,8.82,55.69,2.62,40.98,130.05,58.52,2.9,1.43,7.29,45.76,5.4,3.7,12.15
JOLLIBEE FOODS CORP,12/31/21,1,2.81,1.98,1.54,4.64,3.77,10.01,58490.73,9.39,1325.9,2.71,31.58,120.16,59.66,2.86,1.42,5.39,44.38,7.06,0.63,13.56
JOLLIBEE FOODS CORP,3/31/22,1,2.98,2.31,1.28,5.86,3.35,12.32,56851.63,9.88,161.02,3.74,23.82,120.2,60.81,2.54,1.33,5.36,43.37,8.14,4.28,14.25
JOLLIBEE FOODS CORP,6/30/22,1,3.55,1.93,1.3,5.45,3.58,18.61,66623.52,6.14,36.11,4.14,25.27,131.26,63.95,2.68,1.28,3.86,44.94,8.23,4.99,16.71
JOLLIBEE FOODS CORP,12/29/22,0,3.03,1.75,1.11,6.53,3.47,16.67,62396.87,6,-11.76,4.64,36.28,120.93,64.54,2.27,1.24,3.74,43.71,5.9,2.98,18.67
JOLLIBEE FOODS CORP,3/31/23,0,3.22,1.98,1.14,6.58,3.66,17.76,58870.6,5.68,-14.11,4.69,40.9,119.89,65.33,2.05,1.21,3.83,43.16,5.73,6.33,19.54
LT GROUP INC,12/29/16,0,1.31,0.21,2.92,9.12,1.27,4.71,-159783.21,3.76,0.44,3.64,21.48,24.27,12.65,-15.97,0.69,14.84,5.08,5.88,2.01,12.44
LT GROUP INC,3/31/17,1,1.12,0.21,2.62,10.46,1.14,4.61,-188065.83,2.94,6.85,3.95,19.36,20.61,12.95,-18.77,0.7,14.13,4.22,5.7,1.42,12.73
LT GROUP INC,6/28/19,0,1.05,0.51,1.67,12.91,0.84,5.65,-97620.62,-863.79,54.04,6.32,8.35,65.12,16.53,-6.74,0.67,23.3,12.36,6.71,1.78,16.27
LT GROUP INC,12/27/19,0,0.9,0.57,0.92,8.35,0.49,6.77,-133870.37,-114.84,39.57,13.61,3.63,42.08,16.79,-7.55,0.7,24.66,8.66,8.39,-3.65,16.53
LT GROUP INC,3/31/20,1,0.75,0.35,0.9,0.78,0.48,5.44,-165299.26,148.37,-20.52,11.36,3.64,44.02,16.72,-10.75,0.73,17.33,9.15,7.46,5.7,16.47
LT GROUP INC,6/30/20,0,0.89,0.56,1.02,16.43,0.54,5.86,-105695.68,1398.29,9.62,10.84,4,46.12,16.78,-6.54,0.69,26.59,10.08,7.29,-1.64,16.51
LT GROUP INC,12/29/20,1,1.21,0.6,1.6,9.97,0.78,1.28,-174431.94,74.44,4.42,1.61,6.91,45.49,17.3,-21.6,0.69,29.36,9.27,6.33,-4.84,17.06
LT GROUP INC,9/30/21,0,0.79,0.95,1.18,55.27,0.56,3.19,-232184.21,52.42,112.33,5.59,5.3,45.52,17.57,-19.79,0.7,42.51,9.14,5.28,3,17.32
LT GROUP INC,12/31/21,0,0.69,0.6,1.06,16.92,0.5,3.97,-242297.81,23.88,0.42,7.82,4.75,33.18,17.76,-18.03,0.68,29.52,7.02,5.96,1.92,17.5
LT GROUP INC,6/30/22,1,0.8,0.46,0.94,0.96,0.45,11.91,-166946.29,44.44,-19.3,25.5,2.92,40.59,18.33,-5.8,0.66,19.59,8.81,10.78,-2.76,18.1
LT GROUP INC,12/29/22,0,0.83,0.59,1.02,12.53,0.53,4.66,-215973.87,-11.46,-1.67,8.6,4.29,28.38,18.74,-13.91,0.61,24.51,6.54,8.85,-2.56,18.53
LT GROUP INC,3/31/23,1,0.8,0.61,0.94,25.54,0.5,5.43,-222483.47,29.33,-25.61,10.63,4.54,38.5,19.05,-12.86,0.67,23.68,8.67,7.45,5.52,18.85
MANILA ELECTRIC COMPANY,12/29/16,0,1.56,4.27,1.17,9.11,4.48,35.84,-10815,5.81,5.96,8.27,15.89,57.5,61.16,-0.33,0.76,7.24,13.17,19.28,3.37,58.86
MANILA ELECTRIC COMPANY,3/31/17,0,1.54,5.04,1.09,9.97,3.95,32.85,-12623,8.69,-8.7,8.58,15.56,53.56,66,-0.39,0.83,7.63,13.17,17.06,4.51,63.81
MANILA ELECTRIC COMPANY,6/28/19,1,2.23,5.6,1.31,9.97,5.02,39.19,-19355,6.44,1.08,7.42,18.04,37.19,73.7,-0.49,0.88,8.29,9.35,21.11,4.19,72.15
MANILA ELECTRIC COMPANY,12/27/19,0,1.96,2.32,0.81,4.02,3.42,36.19,-42179,3.28,-53.88,10.72,12.54,54.2,65.87,-1.17,0.87,3.74,10.9,18.76,11.45,64.3
MANILA ELECTRIC COMPANY,3/31/20,1,2.01,3.75,1.02,5.81,3.84,28.39,-8390,2.57,-33.27,7.58,16.67,51.26,69.72,-0.27,0.9,5.85,10.75,16.39,-19.29,68.22
MANILA ELECTRIC COMPANY,6/30/20,1,2.14,3.91,1.05,8.84,3.93,26.97,1337,2.37,-30.18,7.1,18.84,51.76,68.95,0.04,0.87,6.13,10.89,14.83,2.01,67.45
MANILA ELECTRIC COMPANY,12/29/20,0,1.96,3.85,1.14,14.54,4.11,37.08,12007,-1.49,65.95,9,17,109.41,66.13,0.33,0.78,6.7,19.41,13.12,7.49,52.11
MANILA ELECTRIC COMPANY,3/31/21,1,1.86,4.98,1.11,8.56,3.9,38.57,22472,-1.77,32.8,9.8,16.09,100.41,71.14,0.55,0.82,6.65,19.36,13.68,13.12,52.19
MANILA ELECTRIC COMPANY,6/30/21,0,1.98,5.83,1.15,9.08,4.14,40.01,13331,5.98,49.1,9.46,15.56,82.9,71.91,0.31,0.83,7.96,16.18,16.53,5.44,58.54
MANILA ELECTRIC COMPANY,9/30/21,1,1.9,6.19,1.04,5.99,3.49,33.64,18096,-1.59,37.76,8.82,14.16,86.08,84.48,0.43,0.86,8.03,18.75,16.92,-7.95,71.09
MANILA ELECTRIC COMPANY,12/31/21,0,2.33,5.66,1.24,7.55,4.72,32.26,12040,5.06,47.01,6.27,16.49,86.48,79.2,0.3,0.8,7.43,17.14,16.74,6.35,65.76
MANILA ELECTRIC COMPANY,3/31/22,1,2.64,5.98,1.1,5.21,4.19,28.39,21085,4.89,20.08,6.19,15.22,82.88,85.83,0.54,0.85,5.93,17.71,16.33,-2.15,72.79
MANILA ELECTRIC COMPANY,6/30/22,1,2.04,5.89,0.74,4.5,3.06,25.62,27838,-2.12,1.03,7.69,11.09,83.59,85.96,0.73,0.87,5.76,18.11,16.7,-3.6,73.09
MANILA ELECTRIC COMPANY,12/29/22,0,2.1,7.16,0.79,6.87,3.32,22.24,30039,0.53,26.5,6.18,11.64,85.04,93.57,0.78,0.73,7.64,19.94,16.45,-2.27,74.45
MANILA ELECTRIC COMPANY,3/31/23,1,2.26,8.68,0.84,8.88,3.27,24.81,39067,1.73,45.15,6.97,11.38,77.41,102.37,0.9,0.78,8.21,19.76,17.15,0.81,82.25
METRO PACIFIC INVESTMENTS CO,12/29/16,1,2.34,0.1,4.72,34.46,1.24,12.58,80080,-14.52,1.27,7.89,15.84,52.57,4.86,4.3,1.14,26.16,27.71,7.73,0.16,4.15
METRO PACIFIC INVESTMENTS CO,3/31/17,0,2.27,0.15,4.3,41.2,1.28,12.54,127318,-6.46,2.69,8.78,16.64,77.7,5.01,6.61,1.41,38.2,35.41,6.44,0.15,3.47
METRO PACIFIC INVESTMENTS CO,6/28/19,0,1.72,0.12,2.16,37.34,0.87,12.45,190881,-21.32,-3.73,13.91,11.3,98.26,5.72,6.7,1.32,20.84,40.87,6.19,0.35,4.73
METRO PACIFIC INVESTMENTS CO,12/29/20,1,1.54,0.23,2.9,33.55,0.61,6.83,177836,-5.65,42.66,11,46.65,102.31,6.13,10.46,1.35,66.17,41.41,4.56,0.14,5.61
METRO PACIFIC INVESTMENTS CO,3/31/21,0,1.5,0.11,2.82,34.32,0.62,7.16,184019,-7.18,349.79,11.36,23.55,103.22,6.24,10.88,1.42,30.4,41.97,5.21,0.16,5.72
METRO PACIFIC INVESTMENTS CO,6/30/21,0,1.39,0.07,2.62,36.1,0.58,7.11,192217,-9.59,22.89,12.09,20.58,105.44,6.34,12.16,1.44,18.96,42.56,5.08,0.09,5.8
METRO PACIFIC INVESTMENTS CO,9/30/21,0,1.44,-0.08,2.73,29.89,0.61,7.7,197457,-7,-24.86,12.25,24.03,104.29,6.43,12.43,1.24,-19.86,42.28,4.01,0.11,5.91
METRO PACIFIC INVESTMENTS CO,12/31/21,1,1.36,0.19,2.61,37.44,0.58,7.89,206118,-5.67,199.53,13.17,13.18,104.57,6.61,12.53,1.19,51.01,41.98,3.65,0.1,6.08
METRO PACIFIC INVESTMENTS CO,3/31/22,0,1.48,0.13,2.3,37.07,0.52,8.31,218195,-7.15,18.21,15.32,11.45,107.17,6.8,12.5,1.12,29.02,42.91,3.58,0.27,6.26
METRO PACIFIC INVESTMENTS CO,6/30/22,1,1.48,0.12,2.03,39.38,0.48,9.01,228726,-9.66,89.92,17.84,9.07,107.55,6.95,12.11,0.94,27.34,43.16,4.02,0.15,6.41
METRO PACIFIC INVESTMENTS CO,12/29/22,0,1.42,0.17,1.99,42.15,0.52,10.58,254183,-35.58,-8.03,19.74,11,117.79,7.08,11.42,0.85,35.33,44.89,4.15,0.2,6.54
METRO PACIFIC INVESTMENTS CO,3/31/23,1,1.84,0.18,2.46,41.73,0.66,11.09,265890,-26.73,40.79,16.44,12.32,117.83,7.26,11.2,0.68,34.28,45.4,5.35,0.25,6.7
PETRON CORP,12/29/16,1,0.58,0.43,0.22,8.32,0.96,31.63,151268,-3.59,152.68,32.23,10.31,184.02,9.29,4.11,0.79,4.9,52.81,7.78,0.41,8.47
PETRON CORP,3/31/17,0,0.57,0.13,0.23,5.67,1,30.55,150844,-0.72,-45.55,29.61,12.78,179.17,9.64,4.07,0.83,2.34,53.74,7.88,0.12,8.8
PETRON CORP,12/31/21,1,0.2,0.25,0.06,4.89,0.29,23.79,193838,-108.06,2400,71.06,11.88,201.06,11.34,5.95,1,1.88,54.97,5.03,-0.34,10.46
PETRON CORP,3/31/22,1,0.21,0.24,0.04,3.35,0.26,22.47,216152,-163.96,50,85.48,8.47,224.94,11.68,6.16,1.05,1.55,53.92,5.27,-2.07,10.79
PETRON CORP,6/30/22,1,0.19,-0.1,0.03,0.21,0.22,18.69,226003,-166.08,-233.33,84.92,8.86,228.71,11.68,7.18,1.02,0.16,57.68,5.39,-0.83,10.77
PLDT INC,12/29/16,0,5.37,22.84,2.2,22.23,3.25,24.1,134743,2.83,-20.45,7.26,19.04,158.74,506.69,2.19,0.49,12.63,37.47,9.45,54.69,182.09
PLDT INC,3/31/17,1,5.31,53.48,2.44,18.97,3.29,26.83,130514,-0.26,85.44,7.91,16.19,142.31,546.39,1.96,0.6,29.04,37.58,11.2,-3.07,222.61
PLDT INC,6/28/19,1,3.42,17.46,1.49,19.71,2.23,19.17,169681,8.27,-15.98,8.57,13.16,174.87,507.79,2.42,0.37,8.93,39.18,8.53,-9.29,192.97
PLDT INC,12/27/19,0,4.92,27.3,1.42,25.47,2.25,37.05,184985,-4.34,-11.88,16.49,11.26,196.12,500.98,2.15,0.36,13.55,40.65,8.69,-8,187.79
PLDT INC,3/31/20,1,4.69,29.4,1.55,25.06,2.36,35.88,204413,-17.55,15.81,15.16,11.99,211.27,529.59,2.33,0.48,14.78,45.17,8.48,-39.13,217.22
PLDT INC,6/30/20,0,5.29,34.22,1.63,25.45,2.54,39.74,207067,-10.36,95.99,15.35,11.06,203.04,526.89,2.25,0.42,15.93,44.01,9.81,34.96,215.33
PLDT INC,12/29/20,0,4.39,26.79,1.42,21.23,2.42,32.46,209352,0.56,-1.87,13.36,10.94,212.9,504.21,2.39,0.39,12.11,41.4,9.2,-20.28,207.2
PLDT INC,3/31/21,1,4.35,32.88,1.47,19.81,2.41,29.42,231405,6.71,11.84,12.13,11.23,212.93,536.86,2.59,0.36,14.92,42.77,8.72,-48.88,245.29
PLDT INC,6/30/21,0,5.59,27.36,1.89,23.27,3.23,29.42,248821,-0.12,-20.05,9.17,15.52,228.32,520.65,2.73,0.33,12.28,43.71,8.5,-26.28,231.04
PLDT INC,9/30/21,1,5.84,34.74,2.03,20.06,3.19,34.31,248095,-1.13,63.79,10.41,14.88,215.15,568.08,2.59,0.33,15.22,43.79,9.36,1.15,278.57
PLDT INC,12/31/21,1,5.78,41.95,2.05,16.32,3.27,33.48,249087,-2.24,56.92,9.69,13.5,218.7,566.52,2.67,0.33,18.22,43.86,10.29,-27.59,277.24
PLDT INC,3/31/22,1,6.15,35.61,1.83,-8.71,2.81,20.25,248293,1.57,8.88,6.84,12.01,218.96,598.43,2.64,0.44,15.12,44.66,9.93,-44.03,309.37
PLDT INC,6/30/22,1,5.85,49.52,1.62,24.3,2.65,22.17,272537,8.53,80.99,8,9.3,230.35,568.52,2.9,0.3,20.86,45.82,11.17,-76.55,279.69
PLDT INC,12/29/22,0,4.8,41.66,1.48,24.19,2.94,-0.67,259868,16.05,-0.64,-0.25,29.09,260.25,482.7,2.67,0.33,17.22,46.41,5.28,14.93,184.1
PLDT INC,3/31/23,1,4.42,43.61,1.36,25.22,2.5,13.78,294136,11.23,21.87,5.9,23.16,260.97,524.69,2.98,0.35,18.26,49.72,5.25,-96.61,226.34
PUREGOLD PRICE CLUB INC,12/29/16,1,1.07,0.46,1.05,6.73,2.72,19.72,5643.8,-0.54,9.52,6.85,21.43,16.23,16.07,0.58,2.11,4.63,11.69,11.81,-1.33,9
PUREGOLD PRICE CLUB INC,3/31/17,0,1.13,0.44,1.04,6.03,2.7,19.53,4772.51,0,10,6.84,21.43,14.62,16.51,0.48,2.31,4.18,10.75,11.8,0.34,9.44
PUREGOLD PRICE CLUB INC,6/28/19,0,0.91,0.6,0.73,7.24,1.81,18.77,18736.45,3.06,15.38,9.72,17.49,44.34,21.56,1.3,4.38,4.45,28.51,10.47,0.16,14.65
PUREGOLD PRICE CLUB INC,12/27/19,1,1.22,0.61,0.65,7.24,1.65,19.28,14826.44,2.82,15.09,11.25,14.96,48.97,22.07,0.95,3.16,4.31,29.05,9.43,0.44,15.23
PUREGOLD PRICE CLUB INC,3/31/20,1,1.34,0.57,0.81,6.7,2.04,19.66,12892.63,2.4,23.91,9.23,18.21,46.09,22.75,0.79,3.08,3.98,27.63,9.76,0.49,15.88
PUREGOLD PRICE CLUB INC,6/30/20,1,1.49,0.58,0.85,7.1,2.1,19.1,15576.55,-6.37,-3.33,8.71,19.4,63.21,23.33,0.95,4.64,4.22,35.03,8.99,-0.57,16.46
PUREGOLD PRICE CLUB INC,12/29/20,0,1.09,0.7,0.68,8.76,3.21,20.42,21036.44,-7.95,14.75,12.15,13.55,64.45,12.23,1.16,5.03,5.36,35.65,9.58,-2.99,8.81
PUREGOLD PRICE CLUB INC,3/31/21,1,1.05,0.68,0.71,7.38,1.6,20.02,15663.2,-8.12,19.3,11.86,13.45,63.94,25.26,0.86,5.58,5.11,35.78,9.92,2.5,18.39
PUREGOLD PRICE CLUB INC,6/30/21,0,1.14,0.61,0.78,7.48,1.72,19.73,15354.47,2.57,5.17,10.91,14.63,62.28,25.87,0.83,5.78,4.48,35.27,9.46,0.42,19
PUREGOLD PRICE CLUB INC,9/30/21,1,0.97,0.85,0.69,7.93,1.49,17.98,5347.1,2.47,-18.94,11.48,13.83,61.86,26.31,0.3,3.84,5,33.49,8.74,4.03,19.44
PUREGOLD PRICE CLUB INC,12/31/21,0,0.86,0.75,0.62,8.96,1.33,17.67,11344.19,2.88,7.14,12.76,12.36,60.26,26.92,0.64,5.08,5.59,34.13,8.67,-1.2,20.08
PUREGOLD PRICE CLUB INC,3/31/22,0,0.85,0.71,0.51,7.6,1.08,17.85,13092.03,3.65,4.41,15.72,10.3,59.69,27.77,0.72,5.51,4.68,34.19,8.52,0.1,20.9
PUREGOLD PRICE CLUB INC,6/30/22,0,0.84,0.79,0.46,7.75,0.99,18.15,18170.53,4.07,29.51,17.48,9.11,59.45,28.56,0.97,5.74,5.02,34.24,8.8,-0.73,21.55
PUREGOLD PRICE CLUB INC,12/29/22,1,0.81,0.84,0.47,8.07,1.05,17.96,17575.89,4.98,12,16.28,9.42,60.54,29.68,0.91,3.58,5.43,32.92,9.07,-2.33,22.8
PUREGOLD PRICE CLUB INC,3/31/23,0,0.76,0.7,0.44,6.6,0.97,17.26,17306.37,5.95,-1.41,17.07,8.88,59.8,30.38,0.91,4.12,4.25,33.45,8.92,1.11,23.44
ROBINSONS LAND CO,12/29/16,0,1.12,0.33,4.16,36.22,1.5,13.61,39610.5,16.15,-15,8.77,15.87,67.98,14.76,3.32,1.84,25.4,33.01,6.59,-0.29,14.76
ROBINSONS LAND CO,3/31/17,0,1.02,0.37,4.36,39.56,1.54,13.61,41642.67,19.07,0,8.43,16.73,68.32,15.11,3.44,1.81,27.55,33.55,6.51,-0.12,15.11
ROBINSONS LAND CO,6/28/19,1,1.27,0.45,4.29,42.06,1.3,12.1,39166.47,-0.39,-29.69,8.84,16.18,42.15,18.79,2.42,1.57,30.89,23.5,6.43,-0.71,18.79
ROBINSONS LAND CO,12/27/19,1,1.11,0.61,2.15,36.64,0.75,14.3,41237.52,-9.45,74.29,18.37,7.69,45.91,19.76,2.15,1.39,25.64,24.47,7.7,-0.56,19.76
ROBINSONS LAND CO,3/31/20,0,1.12,0.1,2.81,25.18,0.9,12.44,35489.63,-14.68,-76.19,13.4,10.85,52.81,19.36,2.05,1.4,11.89,25.62,6.58,1.13,19.36
ROBINSONS LAND CO,6/30/20,1,0.96,0.14,2.52,28.85,0.73,10.37,34761.32,-15.73,-68.89,13.97,10.92,54.37,19.5,2.24,2.09,15.68,25.91,5.38,0.32,19.5
ROBINSONS LAND CO,12/29/20,1,1.1,0.56,2.86,18.04,0.89,6.75,42554.35,-5.73,-8.2,7.54,18.5,52.5,20.17,3.5,1.26,17.6,26.61,4.24,-0.05,20.17
ROBINSONS LAND CO,3/31/21,0,1,0.49,2.4,39.34,0.85,9.25,43507.5,11.31,390,10.65,12.74,51.9,20.41,2.96,1.19,27.43,25.91,5.41,0.15,20.41
ROBINSONS LAND CO,6/30/21,0,0.91,0.17,2.2,28.99,0.66,8.49,28435.18,24.16,21.43,11.62,11.54,37.62,24.33,1.92,1.61,18.07,21.3,5.33,-1.17,24.33
ROBINSONS LAND CO,9/30/21,0,1.06,0.33,2.72,30.35,0.79,8.62,30523.68,9.01,100.62,9.85,12.36,37.72,24.37,2.02,1.59,30.59,21.57,5.78,-0.16,24.37
ROBINSONS LAND CO,12/31/21,1,1.1,0.27,3.99,35.82,0.85,8.04,33758.19,20.04,-51.79,8.68,16.22,34.01,24.22,2.32,1.5,20.95,19.56,5.23,-0.07,24.22
ROBINSONS LAND CO,3/31/22,1,1.08,0.64,2.33,22.52,0.69,8.78,40748.75,31.87,30.61,11.53,12.19,36.93,24.85,2.62,1.76,15.82,22.92,5.64,-0.31,24.85
